NO_REGIAO_IES;CO_REGIAO_IES;SG_UF_IES;CO_UF_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;CO_IES;QT_TEC_TOTAL;QT_DOC_EXE;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_CURSO;QT_VG_TOTAL;QT_MAT;QT_MAT_DEFICIENTE;QT_MAT_FINANC;QT_MAT_FIES;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_RESERVA_VAGA;QT_MAT_RVPDEF;QT_MAT_APOIO_SOCIAL;QT_MAT_ATIV_EXTRACURRICULAR;QT_MAT_MOB_ACADEMICA;PROP_PCD
Sudeste;3;SP;35;3549102;0;2;1;7;217;64;197;87;58;50;0;15.0;1150.0;1684.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;384.0;0.0;0.0;0.0
Sudeste;3;SP;35;3531407;0;3;2;5;219;11;40;19;5;8;0;5.0;1191.0;386.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;386.0;386.0;0.0;0.0025906735751295338
Sudeste;3;RJ;33;3304557;1;3;2;5;220;15;6;5;1;2;0;1.0;19.0;69.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3550308;1;1;2;4;221;1623;695;359;260;232;0;263.0;37868.0;204027.0;2595.0;29247.0;291.0;5346.0;27.0;0.0;0.0;0.0;39363.0;0.0;0.012718904850828567
Sudeste;3;SP;35;3557105;0;2;2;5;222;149;168;84;47;41;0;26.0;2006.0;3386.0;26.0;405.0;65.0;0.0;0.0;0.0;0.0;299.0;3386.0;0.0;0.00767867690490254
Sudeste;3;SP;35;3547809;0;2;2;5;224;1140;331;116;171;67;0;11.0;1355.0;2791.0;1.0;496.0;0.0;74.0;0.0;0.0;0.0;0.0;1364.0;0.0;0.00035829451809387314
Sudeste;3;SP;35;3548500;0;2;2;5;226;225;153;71;52;43;0;9.0;560.0;1057.0;8.0;355.0;0.0;104.0;0.0;0.0;0.0;53.0;18.0;0.0;0.007568590350047304
Sudeste;3;SP;35;3548500;0;1;2;5;227;108;264;116;145;153;0;45.0;2209.0;5770.0;16.0;557.0;0.0;513.0;0.0;0.0;0.0;0.0;114.0;0.0;0.0027729636048526864
Sudeste;3;SP;35;3548708;0;3;2;5;231;16;60;31;19;5;0;7.0;557.0;1037.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0;0.0;0.0
Sudeste;3;SP;35;3550308;1;3;2;4;234;85;120;57;40;4;3;12.0;1745.0;1068.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;RJ;33;3304557;1;1;2;5;240;88;127;52;71;22;0;16.0;2714.0;1831.0;0.0;120.0;34.0;0.0;0.0;0.0;0.0;0.0;303.0;0.0;0.0
Sudeste;3;SP;35;3547809;0;2;2;4;242;36;255;132;94;44;0;107.0;1464.0;39073.0;288.0;516.0;1.0;187.0;0.0;0.0;0.0;0.0;2014.0;0.0;0.007370818723927008
Sudeste;3;SP;35;3530607;0;3;2;5;243;15;7;5;2;2;0;3.0;221.0;115.0;2.0;112.0;0.0;0.0;0.0;0.0;0.0;0.0;89.0;0.0;0.017391304347826087
Sudeste;3;SP;35;3534401;0;2;2;5;244;54;143;54;16;6;0;27.0;6277.0;1377.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007262164124909223
Sudeste;3;SP;35;3550308;1;3;2;5;263;16;32;19;6;32;0;11.0;2363.0;1629.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3534708;0;2;2;5;265;107;193;104;62;21;0;29.0;2869.0;4172.0;14.0;819.0;129.0;0.0;0.0;0.0;0.0;839.0;4165.0;0.0;0.003355704697986577
Sudeste;3;SP;35;3538709;0;1;2;5;266;49;38;21;13;8;0;11.0;360.0;512.0;0.0;240.0;0.0;1.0;0.0;0.0;0.0;0.0;46.0;0.0;0.0
Sudeste;3;ES;32;3205309;1;2;2;5;267;126;103;72;13;35;0;25.0;1384.0;2941.0;52.0;53.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01768106086365182
